Item name,Variations,Option set 1,Option 1,Option set 2,Option 2,Option set 3,Option 3,Option set 4,Option 4,Is variation visible? (Yes/No),Price,Cost price,Variable price? (Yes/No),Tax rate (%),On sale in Online Store?,Regular price (before sale),Set up different prices and VAT for takeaway,Takeaway price,Takeaway tax rate,Unit,Track inventory? (Yes/No),Quantity,Low stock threshold,SKU,Barcode,Modifiers,Description (Online Store and Invoices only),Category,Display item at Checkout? (Yes/No),Display colour in POS checkout,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Display item in Online Store? (Yes/No),SEO title (Online Store only),SEO description (Online Store only),Shipping weight [kg] (Online Store only),Display service in Bookings? (Yes/No),Duration [minutes] (Bookings only),Location [business/customer] (Bookings only),Item id (Do not change),Variant id (Do not change)
AILEDA Aromatizante Ambientador Spray 5 en 1 360 ml,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Limpieza,Yes,Pink,https://images.sumup.com/img_76797T52YG8KZRFVM05T5S29RR,https://images.sumup.com/img_5FEV8QCQMX8R6V8J94RGNYBTNM,https://images.sumup.com/img_45X1GKZSP79DYTRBF52PCZDV35,https://images.sumup.com/img_04BXSEF0019GKV0N7TXDSVDS7G,,,,Yes,AILEDA Aromatizante Ambientador Spray 5 en 1 360 ml,,,No,,,28113541-ee56-4ee5-883f-58b9bb5427fc,
,Coco Vainilla,,,,,,,,,Yes,1300.00,,,,,,,,,,,0,0,V-LIM-017-CoVa,,,,,,,https://images.sumup.com/img_7MTGAV7W3W8JGB7F9XQ1HAKG2T,,,,,,,,,,,,,,,7a2aac38-6a83-4451-ab8e-6a15020ca0e0
,Lavanda,,,,,,,,,Yes,1300.00,,,,,,,,,,,0,0,V-LIM-017-Lava,,,,,,,https://images.sumup.com/img_16A0Z1N1JT9YN85N0N1N4MM9VH,,,,,,,,,,,,,,,34d521e7-98c3-4ee1-ba60-4d1ea5f8d03c
,Limon,,,,,,,,,Yes,1300.00,,,,,,,,,,,0,0,V-LIM-017-Limo,,,,,,,https://images.sumup.com/img_183M0Q8SWM9K58TZ2AHSQA0WWV,,,,,,,,,,,,,,,ad4f2b6f-4420-4074-aa22-fd7bf8d6a606
,Mañana de campo,,,,,,,,,Yes,1300.00,,,,,,,,,,,0,0,V-LIM-017-MCam,,,,,,,https://images.sumup.com/img_2FM82ZVR269ZV9RHR3D8C23W6M,,,,,,,,,,,,,,,82b2ade2-fc6b-4b9b-bc40-829fac074e73
,Naranja,,,,,,,,,Yes,1300.00,,,,,,,,,,,0,0,V-LIM-017-Nara,,,,,,,,,,,,,,,,,,,,,,b51351d3-fc03-46be-84f9-bddc9e0b2730
,Ocean Fresh,,,,,,,,,Yes,1300.00,,,,,,,,,,,0,0,V-LIM-017-OcFr,,,,,,,,,,,,,,,,,,,,,,56db67a8-d98a-4141-a242-a51a8a0f77c1
AILEDA Trapero Multiuso con ojal 12 hojas Variedades,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Limpieza,Yes,Pink,https://images.sumup.com/img_7BW161D2D49ND9BWGG9NH8CPNB,,,,,,,Yes,AILEDA Trapero Multiuso con ojal 12 hojas Variedades,,,No,,,3bed670d-2c12-4966-a71d-88eabd1838f9,
,Coco,,,,,,,,,Yes,1850.00,,,,,,,,,,,0,0,V-LIM-030-Coco,,,,,,,https://images.sumup.com/img_705JGN7R9W95BRNRAZYE4WCTYG,,,,,,,,,,,,,,,199d0e7d-67f4-4567-a00f-ff64283402d9
,Lavanda,,,,,,,,,Yes,1850.00,,,,,,,,,,,0,0,V-LIM-030-Lava,,,,,,,https://images.sumup.com/img_2M71ZK113Z919BA98M2EEQ4BE7,,,,,,,,,,,,,,,5ed675a8-7c9a-4c71-be00-37e92aa2beeb
AIMEISHANG Film plastico cocina 30 cm x 15 m,,,,,,,,,,Yes,1000.00,,No,19.00,No,,No,,,each.each,Yes,0,0,V-LIM-012,,,,Limpieza,Yes,Pink,,,,,,,,Yes,AIMEISHANG Film plastico cocina 30 cm x 15 m,,,No,,,f12f3332-d5b4-4d54-9b43-15380ff2b0d3,45bce7b3-c802-4252-aabc-fc8db1d79fd4
Audifono BT P9,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Electronica,Yes,,https://images.sumup.com/img_4MF40MCNKB9PSV9G4RDS3P68JF,,,,,,,Yes,,,,No,,,02118ce0-33a5-4d53-8e50-3a3ba6d3a968,
,Negro,Color,Negro,,,,,,,Yes,5000.00,2500.00,,,,,,,,,,1,0,V-ELE-002-Negr,,,,,,,,,,,,,,,,,,,,,,082ee72f-c9bf-450c-9ce9-c45cd573aefd
,Rojo,Color,Rojo,,,,,,,Yes,5000.00,2500.00,,,,,,,,,,1,0,V-ELE-002-Rojo,,,,,,,,,,,,,,,,,,,,,,7670182a-f58c-467e-b560-2f3d2fc9f7a1
,Azul,Color,Azul,,,,,,,Yes,5000.00,2500.00,,,,,,,,,,0,0,V-ELE-002-Azul,,,,,,,,,,,,,,,,,,,,,,9537ca19-8567-4841-8d71-6c4bcd64d11a
,Gris Plata,Color,Gris Plata,,,,,,,Yes,5000.00,2500.00,,,,,,,,,,1,0,V-ELE-002-Plat,,,,,,,,,,,,,,,,,,,,,,595f1a94-ad62-451b-b9f6-1925b5949fb0
Audifonos BT A9Pro,,,,,,,,,,Yes,8000.00,,No,19.00,No,,No,,,each.each,Yes,0,0,V-ELE-001,6920235110265,,,Electronica,Yes,,https://images.sumup.com/img_2BFB7K3A0R8CFBPM3T33DBNK00,https://images.sumup.com/img_3NKAXJWJS39FZB2AJN25FW3CHQ,,,,,,Yes,Audifonos BT A9Pro,,,No,,,30a73411-6562-4be1-be8d-1be0e3f2d342,0399bbd2-2568-41c1-babe-c06d7ba2b95d
Audifonos BT Pro5S,,,,,,,,,,Yes,8000.00,,No,19.00,No,,No,,,each.each,Yes,2,0,V-ELE-003,,,,Electronica,Yes,Light red,,,,,,,,Yes,Audifonos BT Pro5S,,,No,,,a2fbb191-438a-4a8a-a0c5-c18245435a8f,8245e0ff-5d5b-449c-966c-5f4b9f64978d
BABYSEC Pañal Premium,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Bebe,Yes,,https://images.sumup.com/img_2EFA10CZ0R8ANTZA4G9MND1BE8,https://images.sumup.com/img_62VKERBYG894EA9X5Y94XK9JNK,https://images.sumup.com/img_59Y204HC2183XAQ9RQZYSXS7HA,https://images.sumup.com/img_1RDF9T7W6C804AP5WTBH03Q356,https://images.sumup.com/img_6W14N862TH82RA5SZVPSK05FB3,,,Yes,BABYSEC Pañal Premium,,,No,,,c2bf6fad-caf9-43db-916b-712a2f1ea58a,
,Recien Nacido,Talla,Recien Nacido,,,,,,,Yes,2800.00,,,,,,,,,,,0,0,V-BEB-001-RN,,,,,,,,,,,,,,,,,,,,,,367935b6-5ba2-4956-8ec8-6e4fcd1be495
,Pequeña,Talla,Pequeña,,,,,,,Yes,2800.00,,,,,,,,,,,0,0,V-BEB-001-P,,,,,,,,,,,,,,,,,,,,,,0486ae9e-6551-43ed-80e6-b7264aeda505
,Mediana,Talla,Mediana,,,,,,,Yes,2800.00,,,,,,,,,,,0,0,V-BEB-001-M,,,,,,,,,,,,,,,,,,,,,,014ad446-88d5-4c32-b0c0-0062c930ab58
,Grande,Talla,Grande,,,,,,,Yes,2800.00,,,,,,,,,,,0,0,V-BEB-001-G,,,,,,,,,,,,,,,,,,,,,,282a09d5-ae5e-4a8c-93b0-137e68a8ed5d
,Extra Grande,Talla,Extra Grande,,,,,,,Yes,2800.00,,,,,,,,,,,0,0,V-BEB-001-XG,,,,,,,,,,,,,,,,,,,,,,c6d5af82-97ca-47e0-9ceb-5a174d4f9f86
,Extra Extra Grande,Talla,Extra Extra Grande,,,,,,,Yes,2800.00,,,,,,,,,,,0,0,V-BEB-001-XXG,,,,,,,,,,,,,,,,,,,,,,e1e914e8-6c7a-4494-8ae4-d5587620190b
BAGGIO Pure de tomate De La Huerta,,,,,,,,,,Yes,1000.00,,No,19.00,No,,No,,,each.each,Yes,0,0,V-ABA-001,,,,Abarrotes,Yes,Yellow,https://images.sumup.com/img_06NRTJTNGA961BJFGNZNEZEVX7,,,,,,,Yes,BAGGIO Pure de tomate De La Huerta,,,No,,,adda30f8-92d9-4e5c-9abe-605aa6b618ed,2f0e3cf9-2c4b-4921-b8cc-c97a114b466e
BIDS Servilleta Papel 24 x 24 cm 300 un,,,,,,,,,,Yes,1050.00,,No,19.00,No,,No,,,each.each,Yes,14,0,V-LIM-036,,,,Limpieza,Yes,Pink,,,,,,,,Yes,BIDS Servilleta Papel 24 x 24 cm 300 un,,,No,,,94ee54b8-ae4e-4f08-b29d-c642a5570cb3,1739dbb5-a5f9-46c2-8994-7d81864ef138
BRIK’S Clorogel Citrus 900 ml,,,,,,,,,,Yes,1200.00,,No,19.00,No,,No,,,each.each,Yes,3,0,V-LIM-019,,,,Limpieza,Yes,Pink,https://images.sumup.com/img_5DV7ZXZ9YY9F6RMMA70A4DTBWS,,,,,,,Yes,BRIK’S Clorogel Citrus 900 ml,,,No,,,967f82cc-5836-40ce-859a-ac8ef735cc7a,0e1e537b-14b9-4228-b8c3-cc1f9fe72579
BRIK’S Detergente Variedades 5L,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Limpieza,Yes,Pink,https://images.sumup.com/img_0Z7YD3589F9T888EB1K8WAX7JE,https://images.sumup.com/img_1S37MFSFJV8X287ZPH9MZ9DZ59,https://images.sumup.com/img_6XB2CH545Y8D4RPG7A77Y9ZYJ2,https://images.sumup.com/img_56DCWJ50878WV940SZM5AVP8RW,https://images.sumup.com/img_3ZCXNY6BZ08R2TPSVQ25TE0G7E,,,No,,,,No,,,b5316554-e820-4315-9efe-a7831b972da2,
