sku,producto,Seccion,stock_sistema,inventario_real,nuevo_costo
V-LIM-011,Antigrasa Lezi 350 ml,Limpieza,3,,
V-LIM-007,Pastillas para Lavadora,Limpieza,5,,
V-LIM-008,Betun Líquido Huang Jian 80 ml,Limpieza,3,,
V-LIM-005,Servilleta Swan 300 un,Limpieza,6,,
V-LIM-001,Traperos Húmedos Super Cool 12 un,Limpieza,3,,
V-MEN-001,Set Taza Ceramica Oso 3 pz,Menaje,3,,
V-BOU-001,Billetera generica variedades,Boutique,4,,
V-BAN-001,Toalla playera licencias 70x120 cms,Bano,1,,
V-LIM-009,Tissue Optimo 50 m x 4 un,Limpieza,7,,
V-ELE-003,Audifono BT 5SPro,Electronica,1,,
V-LIM-002,Toallitas Humedas Super Cool 80 un,Limpieza,10,,
V-LIM-010,Toalla Papel Tork 24 m x 2 un,Limpieza,8,,
V-LIM-012,Film plastico para Cocina 30 cms x 15 m,Limpieza,3,,
V-ELE-002,Audifono BT P9,Electronica,2,,
V-ELE-001,Audifono BT A9 Pro,Electronica,1,,
,,General,0,,
