Item name,Variations,Option set 1,Option 1,Option set 2,Option 2,Option set 3,Option 3,Option set 4,Option 4,Is variation visible? (Yes/No),Price,Cost price,Variable price? (Yes/No),Tax rate (%),On sale in Online Store?,Regular price (before sale),Set up different prices and VAT for takeaway,Takeaway price,Takeaway tax rate,Unit,Track inventory? (Yes/No),Quantity,Low stock threshold,SKU,Barcode,Modifiers,Description (Online Store and Invoices only),Category,Display item at Checkout? (Yes/No),Display colour in POS checkout,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Display item in Online Store? (Yes/No),SEO title (Online Store only),SEO description (Online Store only),Shipping weight [kg] (Online Store only),Display service in Bookings? (Yes/No),Duration [minutes] (Bookings only),Location [business/customer] (Bookings only),Item id (Do not change),Variant id (Do not change)
BAGGIO Pure de tomate De La Huerta,,,,,,,,,,,1000,,No,19.00,No,,No,,,each.each,Yes,0,,V-ABA-001,,,,Abarrotes,Yes,Yellow,,,,,,,,Yes,BAGGIO Pure de tomate De La Huerta,,,,,,,
GOURMET Caldo en polvo Variedades,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Abarrotes,Yes,Yellow,,,,,,,,Yes,GOURMET Caldo en polvo Variedades,,,,,,,
,Carne,,,,,,,,,Yes,750,,,,,,,,,,Yes,3,,V-ABA-002-Carn,,,,,,,,,,,,,,,,,,,,,,
,Pollo,,,,,,,,,Yes,750,,,,,,,,,,Yes,5,,V-ABA-002-Poll,,,,,,,,,,,,,,,,,,,,,,
,Verduras,,,,,,,,,Yes,750,,,,,,,,,,Yes,5,,V-ABA-002-Verd,,,,,,,,,,,,,,,,,,,,,,
EMUBABY Toallitas Húmedas Sin Alcohol 100 Un,,,,,,,,,,,1100,,No,19.00,No,,No,,,each.each,Yes,11,,V-BEB-002,,,,Bebe,Yes,,,,,,,,,Yes,EMUBABY Toallitas Húmedas Sin Alcohol 100 Un,,,,,,,
Pañal Babysec Premium,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Bebe,Yes,,,,,,,,,Yes,Pañal Babysec Premium,,,,,,,
,Extra Extra Grande,,,,,,,,,Yes,2800,,,,,,,,,,Yes,0,,V-BEB-001-XXG,,,,,,,,,,,,,,,,,,,,,,
,Extra Grande,,,,,,,,,Yes,2800,,,,,,,,,,Yes,0,,V-BEB-001-XG,,,,,,,,,,,,,,,,,,,,,,
,Grande,,,,,,,,,Yes,2800,,,,,,,,,,Yes,0,,V-BEB-001-G,,,,,,,,,,,,,,,,,,,,,,
,Mediana,,,,,,,,,Yes,2800,,,,,,,,,,Yes,0,,V-BEB-001-M,,,,,,,,,,,,,,,,,,,,,,
,Pequeña,,,,,,,,,Yes,2800,,,,,,,,,,Yes,0,,V-BEB-001-P,,,,,,,,,,,,,,,,,,,,,,
,Recien Nacido,,,,,,,,,Yes,2800,,,,,,,,,,Yes,0,,V-BEB-001-RN,,,,,,,,,,,,,,,,,,,,,,
Billeteras Varon Surtidas,,,,,,,,,,,4000,,No,19.00,No,,No,,,each.each,Yes,4,,V-BOU-001,,,,Boutique,Yes,,,,,,,,,Yes,Billeteras Varon Surtidas,,,,,,,
Toalla Microfibra,,,,,,,,,,,5000,,No,19.00,No,,No,,,each.each,Yes,1,,V-BOU-002,,,,Boutique,Yes,,,,,,,,,Yes,Toalla Microfibra,,,,,,,
COLUN Leche Origen Chocolate 220 ml,,,,,,,,,,,600,,No,19.00,No,,No,,,each.each,Yes,0,,V-COL-001,,,,Colaciones,Yes,Light blue,,,,,,,,Yes,COLUN Leche Origen Chocolate 220 ml,,,,,,,
HOLY Nut Mix Variedades,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Colaciones,Yes,Light blue,,,,,,,,Yes,HOLY Nut Mix Variedades,,,,,,,
,Avellana Mix,,,,,,,,,Yes,950,,,,,,,,,,Yes,0,,V-COL-004-AvMx,,,,,,,,,,,,,,,,,,,,,,
,Coco Mix,,,,,,,,,Yes,950,,,,,,,,,,Yes,0,,V-COL-004-CoMx,,,,,,,,,,,,,,,,,,,,,,
,Nuez Mix,,,,,,,,,Yes,950,,,,,,,,,,Yes,0,,V-COL-004-NuMx,,,,,,,,,,,,,,,,,,,,,,
HOLY Snackbar Variedades,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Colaciones,Yes,Light blue,,,,,,,,Yes,HOLY Snackbar Variedades,,,,,,,
,Avena Chocolate,,,,,,,,,Yes,950,,,,,,,,,,Yes,1,,V-COL-005-AvCh,,,,,,,,,,,,,,,,,,,,,,
,Avena Semillas,,,,,,,,,Yes,950,,,,,,,,,,Yes,1,,V-COL-005-AvSe,,,,,,,,,,,,,,,,,,,,,,
MIZOS Galletas de arroz integral 20g,,,,,,,,,,,600,,No,19.00,No,,No,,,each.each,Yes,13,,V-COL-008,,,,Colaciones,Yes,Light blue,,,,,,,,Yes,MIZOS Galletas de arroz integral 20g,,,,,,,
Nestle Chocapic 30g,,,,,,,,,,,550,,No,19.00,No,,No,,,each.each,Yes,2,,V-COL-007,,,,Colaciones,Yes,Light blue,,,,,,,,Yes,Nestle Chocapic 30g,,,,,,,
SMILEY KIDS Compota Manzana/Pera 100g,,,,,,,,,,,350,,No,19.00,No,,No,,,each.each,Yes,8,,V-COL-002,,,,Colaciones,Yes,Light blue,,,,,,,,Yes,SMILEY KIDS Compota Manzana/Pera 100g,,,,,,,
TIA LIA Snackbar Cranberry,,,,,,,,,,,200,,No,19.00,No,,No,,,each.each,Yes,0,,V-COL-003,,,,Colaciones,Yes,Light blue,,,,,,,,Yes,TIA LIA Snackbar Cranberry,,,,,,,
WATTS Jugo 100% Fruta,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Colaciones,Yes,Light blue,,,,,,,,Yes,WATTS Jugo 100% Fruta,,,,,,,
,Naranja,,,,,,,,,Yes,550,,,,,,,,,,Yes,5,,V-COL-006-Nara,,,,,,,,,,,,,,,,,,,,,,
,Naranja-Manzana,,,,,,,,,Yes,550,,,,,,,,,,Yes,3,,V-COL-006-NaMa,,,,,,,,,,,,,,,,,,,,,,
COLGATE Cepillo Adulto cerda media,,,,,,,,,,,500,,No,19.00,No,,No,,,each.each,Yes,11,,V-CPE-003,,,,Cuidado Personal,Yes,Dark green,,,,,,,,Yes,COLGATE Cepillo Adulto cerda media,,,,,,,
COLGATE Dentrifico Triple accion Menta 75ml,,,,,,,,,,,1250,,No,19.00,No,,No,,,each.each,Yes,12,,V-CPE-002,,,,Cuidado Personal,Yes,Dark green,,,,,,,,Yes,COLGATE Dentrifico Triple accion Menta 75ml,,,,,,,
