Item name,Variations,Option set 1,Option 1,Option set 2,Option 2,Option set 3,Option 3,Option set 4,Option 4,Is variation visible? (Yes/No),Price,Cost price,Variable price? (Yes/No),Tax rate (%),On sale in Online Store?,Regular price (before sale),Set up different prices and VAT for takeaway,Takeaway price,Takeaway tax rate,Unit,Track inventory? (Yes/No),Quantity,Low stock threshold,SKU,Barcode,Modifiers,Description (Online Store and Invoices only),Category,Display item at Checkout? (Yes/No),Display colour in POS checkout,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Display item in Online Store? (Yes/No),SEO title (Online Store only),SEO description (Online Store only),Shipping weight [kg] (Online Store only),Display service in Bookings? (Yes/No),Duration [minutes] (Bookings only),Location [business/customer] (Bookings only),Item id (Do not change),Variant id (Do not change)
BAGGIO Pure de tomate De La Huerta,,,,,,,,,,,1000,,No,19.00,No,,No,,,each.each,Yes,0,,V-ABA-001,,,,Abarrotes,Yes,Yellow,https://images.sumup.com/img_06NRTJTNGA961BJFGNZNEZEVX7,,,,,,,Yes,BAGGIO Pure de tomate De La Huerta,,,,,,adda30f8-92d9-4e5c-9abe-605aa6b618ed,
GOURMET Caldo en polvo Variedades,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Abarrotes,Yes,Yellow,https://images.sumup.com/img_6YA12DSF0X8VDA7G796ZGRVHA5,https://images.sumup.com/img_22M2W4KY0288XANKWC2QFJBSE7,https://images.sumup.com/img_2H6ACTH58T9VAVHD2PASF17TJH,,,,,Yes,GOURMET Caldo en polvo Variedades,,,,,,074a3ea4-34fe-48d3-adef-25f15d1d930b,
,Carne,,,,,,,,,Yes,750,,,,,,,,,,Yes,3,,V-ABA-002-Carn,,,,,,,https://images.sumup.com/img_15SAS7TE5791PS0VMNM3SGX6S5,,,,,,,,,,,,,,,e46dee16-f39a-4a11-9a98-7b2a371e9765
,Pollo,,,,,,,,,Yes,750,,,,,,,,,,Yes,5,,V-ABA-002-Poll,,,,,,,https://images.sumup.com/img_2VXV6BGAB48HPVA82KR4TSF5ZX,,,,,,,,,,,,,,,c5c8dce0-e8c1-4ab8-9c13-2083cf00956b
,Verduras,,,,,,,,,Yes,750,,,,,,,,,,Yes,5,,V-ABA-002-Verd,,,,,,,https://images.sumup.com/img_2D0981Y0ZW90YAQTF24YXB9R6E,,,,,,,,,,,,,,,48ae48ab-568e-4727-a8bb-d66e143f95f5
EMUBABY Toallitas Húmedas Sin Alcohol 100 Un,,,,,,,,,,,1100,,No,19.00,No,,No,,,each.each,Yes,11,,V-BEB-002,,,,Bebe,Yes,,https://images.sumup.com/img_45MK77Y4BF9M8TRC95RR7HFYDN,,,,,,,Yes,EMUBABY Toallitas Húmedas Sin Alcohol 100 Un,,,,,,ed87fa22-ff95-4a35-a400-ff24662a95b2,
Pañal Babysec Premium,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Bebe,Yes,,,,,,,,,Yes,Pañal Babysec Premium,,,,,,,
,Extra Extra Grande,,,,,,,,,Yes,2800,,,,,,,,,,Yes,0,,V-BEB-001-XXG,,,,,,,,,,,,,,,,,,,,,,
,Extra Grande,,,,,,,,,Yes,2800,,,,,,,,,,Yes,0,,V-BEB-001-XG,,,,,,,,,,,,,,,,,,,,,,
,Grande,,,,,,,,,Yes,2800,,,,,,,,,,Yes,0,,V-BEB-001-G,,,,,,,,,,,,,,,,,,,,,,
,Mediana,,,,,,,,,Yes,2800,,,,,,,,,,Yes,0,,V-BEB-001-M,,,,,,,,,,,,,,,,,,,,,,
,Pequeña,,,,,,,,,Yes,2800,,,,,,,,,,Yes,0,,V-BEB-001-P,,,,,,,,,,,,,,,,,,,,,,
,Recien Nacido,,,,,,,,,Yes,2800,,,,,,,,,,Yes,0,,V-BEB-001-RN,,,,,,,,,,,,,,,,,,,,,,
Billeteras Varon Surtidas,,,,,,,,,,,4000,,No,19.00,No,,No,,,each.each,Yes,4,,V-BOU-001,,,,Boutique,Yes,,https://images.sumup.com/img_51QGM7VCBW8N79XXA3X294NMER,,,,,,,Yes,Billeteras Varon Surtidas,,,,,,55aa8804-73c8-4071-8e7d-f192f32d2c6f,
Toalla Microfibra,,,,,,,,,,,5000,,No,19.00,No,,No,,,each.each,Yes,1,,V-BOU-002,,,,Boutique,Yes,,,,,,,,,Yes,Toalla Microfibra,,,,,,d42f0c0b-eb76-46d3-b8a2-5b510eb29e7d,
COLUN Leche Origen Chocolate 220 ml,,,,,,,,,,,600,,No,19.00,No,,No,,,each.each,Yes,0,,V-COL-001,,,,Colaciones,Yes,Light blue,https://images.sumup.com/img_39Z5KGBDB38GQSVVREMRZPGK1M,,,,,,,Yes,COLUN Leche Origen Chocolate 220 ml,,,,,,508c4d28-8877-4437-9ddb-72a2ae3536da,
HOLY Nut Mix Variedades,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Colaciones,Yes,Light blue,https://images.sumup.com/img_4R95MGN0FW8CA9HCK2WHEM8YYC,https://images.sumup.com/img_6Y88HC897G9SC8P7BH35WD92HS,https://images.sumup.com/img_2K3FDR4SF791BVKRFR71X28FSC,,,,,Yes,HOLY Nut Mix Variedades,,,,,,12c9a3d2-487b-42c2-bae4-6cf900111955,
,Avellana Mix,,,,,,,,,Yes,950,,,,,,,,,,Yes,0,,V-COL-004-AvMx,,,,,,,,,,,,,,,,,,,,,,734696e7-2638-4453-862f-f2b699993102
,Coco Mix,,,,,,,,,Yes,950,,,,,,,,,,Yes,0,,V-COL-004-CoMx,,,,,,,,,,,,,,,,,,,,,,6e318ba3-713b-405e-abf2-db2620fb80cf
,Nuez Mix,,,,,,,,,Yes,950,,,,,,,,,,Yes,0,,V-COL-004-NuMx,,,,,,,,,,,,,,,,,,,,,,d337e208-4a42-410e-b30f-ee48bf8b19f2
