nombre,categoria,precio,stock,descripcion,imagen,sku_vts
BAGGIO Pure de tomate De La Huerta,Abarrotes,1000,5,,1079.webp,V-ABA-001
GOURMET Caldo en polvo Variedades,Abarrotes,750,0,,,V-ABA-002
Pañal Babysec Premium,Bebe,2791,0,RN,,V-BEB-001
Billeteras Varon Surtidas,Boutique,4000,4,,IMG_2781-Photoroom.webp,V-BOU-001
Toalla Microfibra,Boutique,5000,1,,,V-BOU-002
COLGATE Cepillo Adulto cerda media,Cuidado Personal,500,12,Cerda Media,,V-CPE-003
COLGATE Dentrifico Triple accion Menta 75ml,Cuidado Personal,1250,4,Menta Original,,V-CPE-002
DOVE Jabon de Tocador 75g,Cuidado Personal,1100,4,,,V-CPE-004
Dove Desodorantes 45g Variedades,Cuidado Personal,2800,1,,,V-CPE-001
LUX Jabon de tocador 70g Variedades,Cuidado Personal,450,4,Granada,,V-CPE-005
PROTEX Jabon de tocador Variedades,Cuidado Personal,950,7,,,V-CPE-006
Audifonos BT A9Pro,Electronica,8000,0,,,V-ELE-001
Audifonos BT Pro5S,Electronica,8000,2,,,V-ELE-003
Audifonos Headset BT P9,Electronica,5000,2,,,V-ELE-002
Set Luces de emergencia + Control Remoto,Electronica,8000,3,,,V-ELE-004
EVEREADY Ampolleta LED,Ferreteria,1000,6,6W/45W,D_NQ_NP_932148-MLC78921994911_092024-O-Photoroom.webp,V-FER-001
FABER CASTELL Lapis grafito hexagonal HB,Libreria,150,24,,,V-LIB-011
FACTIS Pack goma miga 2 un,Libreria,2000,1,,,V-LIB-010
FACTIS Sucedaneo Goma de borrar miga S20,Libreria,300,20,,IMG_2782-Photoroom.webp,V-LIB-009
FEMU Pegamento en Barra 21 grs,Libreria,700,12,,,V-LIB-014
FEMU Sacapuntas con deposito,Libreria,700,12,,IMG_2774-Photoroom.webp,V-LIB-015
MEIPAI Caja Lapices Colores Hexagonales 12+2 un,Libreria,1500,3,,IMG_2772-Photoroom.webp,V-LIB-004
OFFICE TREND Destacadores pastel Variedades,Libreria,2000,0,,,V-LIB-005
PAPERONE Resma 500 hojas Carta,Libreria,4400,1,,,V-LIB-007
"TORRE Cuaderno Tapa Blanda, Mat 7mm DBZ",Libreria,2000,8,,,V-LIB-006
V-STORE Compas Escolar,Libreria,800,5,,,V-LIB-018
V-STORE Cuaderno College Mat 7 mm 70 hojas,Libreria,800,12,,,V-LIB-016
V-STORE Ser 2 TIjeras Adulto,Libreria,1500,1,,IMG_2770-Photoroom.webp,V-LIB-013
V-STORE Tijeras Escolares Punta Roma,Libreria,800,6,,,V-LIB-017
AILEDA Aromatizante Ambientador Spray 5 en 1 360 ml,Limpieza,1300,4,,,V-LIM-017
AIMEISHANG Film plastico cocina 30 cm x 15 m,Limpieza,1000,3,,,V-LIM-012
BRIK’S Clorogel Citrus 900 ml,Limpieza,1200,6,Citrus,,V-LIM-019
BRIK’S Lavaloza concentrado 1L,Limpieza,1250,11,Limon,,V-LIM-020
Brik's Detergente Variedades 5L,Limpieza,3500,4,Coral Delicado,,V-LIM-027
Brik's Suavizante 5L,Limpieza,3900,0,,,V-LIM-028
ELITE Papel Higiénico Doble Hoja Ultra 4 x 50 mt,Limpieza,2500,4,,,V-LIM-003
GENERICO Esponja de Cocina Lisa,Limpieza,200,6,,,V-LIM-026
HUANG JIAN Betún Líquido Zapatos 80ml,Limpieza,1000,3,Negro,,V-LIM-008
IO Acondicionador Variedades 1L,Limpieza,1200,11,Coco-Vainilla,,V-LIM-015
IO Jabon Liquido Avena & Almendras 1L,Limpieza,1400,7,Avena-Almendras,,V-LIM-016
IO Shampoo Variedades 1L,Limpieza,1200,11,Kids,,V-LIM-014
LEZI Antigrasa gatillo 350ml,Limpieza,1000,2,,,V-LIM-011
NOE Servilletas 23 x 22 cms 300 un,Limpieza,1050,10,,,V-LIM-013
OPTIMO Papel Higiénico Doble Hoja Ultra 4 x 50 mt,Limpieza,2300,0,,,V-LIM-009
POPEYE Detergente en Barra 170 gms,Limpieza,1000,4,,,V-LIM-018
Papel Higiénico Confort Doble Hoja Ultra 4 x 50 mt,Limpieza,2400,5,,,V-LIM-025
SCOTT Papel Higiénico Doble Hoja Ultra 4 x 50 mt,Limpieza,2300,4,,,V-LIM-024
SUPERCOOL Traperos Humedos 12 u,Limpieza,1000,0,Limon,,V-LIM-001
Servilleta Papel Navideña,Limpieza,800,5,Navidad,,V-LIM-006
TORK Papel Higiénico Doble Hoja Ultra 4 x 50 mt,Limpieza,2300,8,,,V-LIM-029
TORK Toalla Papel Doble Hoja 2 x 24 mt,Limpieza,1500,7,,,V-LIM-010
Toalla Papel Ovella una Hoja Ultra 80 mt,Limpieza,2000,1,,shoppin_MZjg0fo_dL3HCSZ.webp,V-LIM-004
Toallitas Humedas desechables,Limpieza,1000,2,,,V-LIM-002
V-STORE Pastillas de limpieza para lavadora,Limpieza,2000,4,,,V-LIM-007
V-STORE Set taza ceramica 3pz oso,Menaje,5000,3,,,V-MEN-001
